,"IndivTax","CorpTax","SI","ExciseTaxes","Other","Total"
1934,420,364,30,1354,788,2955
1935,527,529,31,1439,1084,3609
1936,674,719,52,1631,847,3923
1937,1092,1038,580,1876,801,5387
1938,1286,1287,1541,1863,773,6751
1939,1029,1127,1593,1871,675,6295
1940,892,1197,1785,1977,698,6548
1941,1314,2124,1940,2552,781,8712
1942,3263,4719,2452,3399,801,14634
1943,6505,9557,3044,4096,800,24001
1944,19705,14838,3473,4759,972,43747
1945,18372,15988,3451,6265,1083,45159
1946,16098,11883,3115,6998,1202,39296
1947,17935,8615,3422,7211,1331,38514
1948,19315,9678,3751,7356,1461,41560
1949,15552,11192,3781,7502,1388,39415
1950,15755,10449,4338,7550,1351,39443
1951,21616,14101,5674,8648,1578,51616
1952,27934,21226,6445,8852,1710,66167
1953,29816,21238,6820,9877,1857,69608
1954,29542,21101,7208,9945,1905,69701
1955,28747,17861,7862,9131,1850,65451
1956,32188,20880,9320,9929,2270,74587
1957,35620,21167,9997,10534,2672,79990
1958,34724,20074,11239,10638,2961,79636
1959,36719,17309,11722,10578,2921,79249
1960,40715,21494,14683,11676,3923,92492
1961,41338,20954,16439,11860,3796,94388
1962,45571,20523,17046,12534,4001,99676
1963,47588,21579,19804,13194,4395,106560
1964,48697,23493,21963,13731,4731,112613
1965,48792,25461,22242,14570,5753,116817
1966,55446,30073,25546,13062,6708,130835
1967,61526,33971,32619,13719,6987,148822
1968,68726,28665,33923,14079,7580,152973
1969,87249,36678,39015,15222,8718,186882
1970,90412,32829,44362,15705,9499,192807
1971,86230,26785,47325,16614,10185,187139
1972,94737,32166,52574,15477,12355,207309
1973,103246,36153,63115,16260,12026,230799
1974,118952,38620,75071,16844,13737,263224
1975,122386,40621,84534,16551,14998,279090
1976,131603,41409,90769,16963,17317,298060
1977,157626,54892,106485,17548,19008,355559
1978,180988,59952,120967,18376,19278,399561
1979,217841,65677,138939,18745,22101,463302
1980,244069,64600,157803,24329,26311,517112
1981,285917,61137,182720,40839,28659,599272
1982,297744,49207,201498,36311,33006,617766
1983,288938,37022,208994,35300,30309,600562
1984,298415,56893,239376,37361,34392,666438
1985,334531,61331,265163,35992,37020,734037
1986,348959,63143,283901,32919,40233,769155
1987,392557,83926,303318,32457,42029,854287
1988,401181,94508,334335,35227,43987,909238
1989,445690,103291,359416,34386,48321,991104
1990,466884,93507,380047,35345,56174,1031958
1991,467827,98086,396015,42402,50657,1054988
1992,475964,100270,413688,45569,55717,1091208
1993,509680,117520,428299,48057,50778,1154334
1994,543055,140385,461475,55225,58427,1258566
1995,590244,157004,484473,57484,62585,1351790
1996,656417,171824,509414,54014,61384,1453053
1997,737466,182293,539371,56924,63178,1579232
1998,828586,188677,571831,57673,74961,1721728
1999,879480,184680,611833,70414,81045,1827452
2000,1004462,207289,652852,68865,91723,2025191
2001,994339,151075,693967,66232,85469,1991082
2002,858345,148044,700760,66989,78998,1853136
2003,793699,131778,712978,67524,76335,1782314
2004,808959,189371,733407,69855,78522,1880114
2005,927222,278282,794125,73094,80888,2153611
2006,1043908,353915,837821,73961,97264,2406869
2007,1163472,370243,869607,65069,99594,2567985
2008,1145747,304346,900155,67334,106409,2523991
2009,915308,138229,890917,62483,98052,2104989
2010,898549,191437,864814,66909,140997,2162706
2011,1091473,181085,818792,72381,139735,2303466
2012,1132206,242289,845314,79061,151118,2449988
2013,1316405,273506,947820,84007,153365,2775103
2014,1394568,320731,1023458,93368,189362,3021487
2015,1478076,341688,1065012,95898,195398,3176072
2016,1645628,473304,1111926,112084,182237,3525179
2017,1770347,499763,1173288,120296,191286,3754980
2018,1886884,503027,1228575,122379,203550,3944415
2019,1999800,507206,1280398,124346,223223,4134973
2020,2118406,512535,1332212,126354,242735,4332242
